Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,10.140000,10.300000,10.100000,10.230000,10.230000,9878
2013-01-01,10.230000,10.290000,10.100000,10.170000,10.170000,4615
2013-01-02,10.170000,10.260000,10.090000,10.230000,10.230000,13626
2013-01-03,10.230000,10.240000,10.080000,10.200000,10.200000,7149
2013-01-04,10.200000,10.300000,10.100000,10.200000,10.200000,28839
2013-01-05,10.200000,10.200000,10.110000,10.200000,10.200000,17122
2013-01-06,10.200000,10.290000,10.100000,10.210000,10.210000,17910
2013-01-07,10.210000,10.460000,10.200000,10.340000,10.340000,37392
2013-01-08,10.340000,10.730000,10.330000,10.710000,10.710000,37273
2013-01-09,10.710000,10.750000,10.460000,10.740000,10.740000,18097
2013-01-10,10.740000,11.200000,10.550000,10.800000,10.800000,67977
2013-01-11,10.800000,11.070000,10.740000,11.000000,11.000000,28181
2013-01-12,11.000000,11.000000,10.790000,10.790000,10.790000,20675
2013-01-13,10.790000,10.930000,10.750000,10.750000,10.750000,17464
2013-01-14,10.750000,10.900000,10.750000,10.800000,10.800000,9850
2013-01-15,10.800000,11.050000,10.750000,10.820000,10.820000,115742
2013-01-16,10.820000,11.200000,10.800000,11.170000,11.170000,37456
2013-01-17,11.170000,11.780000,11.170000,11.700000,11.700000,59088
2013-01-18,11.700000,11.950000,11.610000,11.730000,11.730000,29624
2013-01-19,11.730000,11.890000,11.600000,11.710000,11.710000,14348
2013-01-20,11.710000,11.900000,11.510000,11.830000,11.830000,20261
2013-01-21,11.830000,12.780000,11.620000,12.710000,12.710000,63656
2013-01-22,12.710000,13.300000,12.600000,13.120000,13.120000,55880
2013-01-23,13.120000,13.460000,12.830000,13.320000,13.320000,41425
2013-01-24,13.320000,14.590000,11.780000,12.750000,12.750000,228221
2013-01-25,12.750000,13.490000,11.750000,12.990000,12.990000,81281
2013-01-26,12.990000,13.180000,12.590000,13.050000,13.050000,17676
2013-01-27,13.050000,13.200000,12.860000,13.200000,13.200000,9075
2013-01-28,13.200000,13.950000,13.180000,13.790000,13.790000,74402
2013-01-29,13.790000,14.680000,13.800000,14.560000,14.560000,122448
2013-01-30,14.560000,14.750000,14.340000,14.750000,14.750000,51997
2013-01-31,14.750000,15.700000,14.730000,15.350000,15.350000,146832
2013-02-01,15.350000,15.490000,14.950000,15.100000,15.100000,52513
2013-02-02,15.100000,15.100000,13.500000,14.370000,14.370000,85018
2013-02-03,14.370000,14.980000,14.020000,14.760000,14.760000,24452
2013-02-04,14.760000,15.500000,14.690000,15.020000,15.020000,83343
2013-02-05,15.020000,15.430000,15.020000,15.200000,15.200000,31976
2013-02-06,15.200000,16.000000,15.150000,15.840000,15.840000,64522
2013-02-07,15.840000,16.299999,15.670000,16.260000,16.260000,86657
2013-02-08,16.260000,17.000000,16.190001,16.850000,16.850000,82010
2013-02-09,16.850000,17.500000,16.780001,17.440001,17.440001,45643
2013-02-10,17.440001,17.799999,17.000000,17.469999,17.469999,45263
2013-02-11,17.469999,18.000000,17.290001,18.000000,18.000000,120195
2013-02-12,18.000000,19.280001,17.860001,18.709999,18.709999,111018
2013-02-13,18.709999,19.629999,18.430000,18.430000,18.430000,118688
2013-02-14,18.430000,20.120001,16.139999,20.120001,20.120001,158485
2013-02-15,20.120001,20.469999,19.700001,20.200001,20.200001,85697
2013-02-16,20.200001,20.570000,20.049999,20.440001,20.440001,24196
2013-02-17,20.440001,20.750000,19.200001,20.180000,20.180000,117993
2013-02-18,20.180000,20.500000,19.820000,20.340000,20.340000,67517
2013-02-19,20.340000,22.400000,20.250000,22.260000,22.260000,105935
2013-02-20,22.260000,22.500000,21.799999,22.500000,22.500000,77335
2013-02-21,22.500000,22.799999,22.290001,22.510000,22.510000,102537
2013-02-22,22.510000,23.990000,22.299999,23.000000,23.000000,155488
2013-02-23,23.000000,23.299999,20.879999,22.680000,22.680000,117480
2013-02-24,22.680000,23.450001,22.190001,22.660000,22.660000,70808
2013-02-25,22.660000,23.500000,22.700001,23.209999,23.209999,54664
2013-02-26,23.209999,24.000000,23.000000,24.000000,24.000000,176533
2013-02-27,24.000000,24.200001,23.500000,23.500000,23.500000,62054
2013-02-28,23.500000,26.480000,23.540001,25.639999,25.639999,216815
2013-03-01,25.639999,27.000000,25.320000,26.700001,26.700001,150680
2013-03-02,26.700001,26.990000,26.100000,26.969999,26.969999,49367
2013-03-03,26.969999,27.000000,26.330000,26.900000,26.900000,51945
2013-03-04,26.900000,28.940001,26.799999,28.230000,28.230000,131499
2013-03-05,28.230000,31.990000,28.230000,31.469999,31.469999,229485
2013-03-06,31.469999,38.000000,31.370001,32.310001,32.310001,455309
2013-03-07,32.310001,35.029999,26.000000,31.570000,31.570000,425824
2013-03-08,31.570000,34.799999,31.920000,33.590000,33.590000,249297
2013-03-09,33.590000,35.980000,33.299999,35.799999,35.799999,159313
2013-03-10,35.799999,36.900002,35.119999,35.700001,35.700001,110842
2013-03-11,35.700001,37.349998,35.400002,37.150002,37.150002,121750
2013-03-12,37.150002,37.200001,28.400000,33.180000,33.180000,514887
2013-03-13,33.180000,36.799999,33.520000,36.419998,36.419998,135839
2013-03-14,36.419998,37.820000,36.099998,36.520000,36.520000,206437
2013-03-15,36.520000,36.790001,36.099998,36.400002,36.400002,54593
2013-03-16,36.400002,36.500000,35.529999,36.500000,36.500000,42305
2013-03-17,36.500000,37.020000,36.200001,36.650002,36.650002,59161
2013-03-18,36.650002,39.500000,36.389999,39.500000,39.500000,131305
2013-03-19,39.500000,46.990002,38.279999,46.000000,46.000000,436434
2013-03-20,46.000000,51.410000,44.540001,49.820000,49.820000,370566
2013-03-21,49.820000,57.939999,48.560001,56.000000,56.000000,402062
2013-03-22,56.000000,58.500000,50.700001,53.970001,53.970001,337379
2013-03-23,53.970001,55.000000,40.529999,49.650002,49.650002,648784
2013-03-24,49.650002,56.000000,47.919998,55.150002,55.150002,178681
2013-03-25,55.150002,60.000000,53.200001,56.750000,56.750000,642503
2013-03-26,56.750000,62.500000,57.320000,60.930000,60.930000,240949
2013-03-27,60.930000,69.500000,60.930000,69.250000,69.250000,747274
2013-03-28,69.250000,76.510002,60.000000,70.629997,70.629997,1070463
2013-03-29,70.629997,73.800003,66.190002,70.860001,70.860001,545200
2013-03-30,70.860001,73.370003,69.419998,72.269997,72.269997,180170
2013-03-31,72.269997,73.800003,72.000000,73.739998,73.739998,130459
2013-03-31,73.739998,81.790001,72.000000,80.769997,80.769997,476416
2013-04-01,80.769997,92.190002,78.599998,92.190002,92.190002,489003
2013-04-02,92.190002,115.449997,87.379997,102.989998,102.989998,1649736
2013-04-03,102.989998,111.889999,92.699997,104.000000,104.000000,766289
2013-04-04,104.000000,111.000000,101.529999,108.500000,108.500000,603170
2013-04-05,108.500000,113.470001,106.860001,111.970001,111.970001,467436
2013-04-06,111.970001,128.500000,110.699997,127.160004,127.160004,918832
2013-04-07,127.160004,149.979996,127.160004,143.630005,143.630005,1195226
2013-04-08,143.630005,186.210007,142.449997,180.100006,180.100006,1949553
2013-04-09,180.100006,203.000000,82.000000,127.010002,127.010002,4375139
2013-04-10,127.010002,146.779999,85.000000,92.000000,92.000000,1915900
2013-04-11,92.000000,109.370003,40.900002,88.000000,88.000000,4141674
2013-04-12,88.000000,99.910004,67.000000,71.000000,71.000000,2201721
2013-04-13,71.000000,83.199997,66.019997,67.400002,67.400002,993431
2013-04-14,67.400002,79.800003,53.500000,63.000000,63.000000,1530041
2013-04-15,63.000000,65.019997,37.299999,51.099998,51.099998,2560350
2013-04-16,51.099998,74.500000,49.000000,71.500000,71.500000,1991602
2013-04-17,71.500000,85.000000,67.180000,82.500000,82.500000,1108259
2013-04-18,82.500000,102.269997,79.680000,91.510002,91.510002,2149348
2013-04-19,91.510002,99.500000,87.699997,98.150002,98.150002,418197
2013-04-20,98.150002,99.900002,82.000000,92.000000,92.000000,1013430
2013-04-21,92.000000,96.519997,90.230003,95.000000,95.000000,331949
2013-04-22,95.000000,110.260002,94.000000,109.680000,109.680000,1219062
2013-04-23,109.680000,125.900002,107.919998,119.000000,119.000000,2269702
2013-04-24,119.000000,125.000000,91.339996,108.800003,108.800003,1763908
2013-04-25,108.800003,110.570000,93.129997,105.000000,105.000000,827414
2013-04-26,105.000000,107.480003,96.989998,100.699997,100.699997,324826
2013-04-27,100.699997,106.000000,99.019997,104.000000,104.000000,181465
2013-04-28,104.000000,112.000000,102.040001,109.000000,109.000000,420217
2013-04-29,109.000000,112.000000,104.050003,105.550003,105.550003,470748
2013-04-30,105.550003,107.000000,81.110001,90.000000,90.000000,1920360
2013-05-01,90.000000,98.000000,70.000000,81.180000,81.180000,1670548
2013-05-02,81.180000,83.570000,60.230000,75.000000,75.000000,1335279
2013-05-03,75.000000,88.989998,71.570000,84.489998,84.489998,734727
2013-05-04,84.489998,92.709999,80.160004,88.330002,88.330002,789829
2013-05-05,88.330002,94.330002,80.000000,85.040001,85.040001,703950
2013-05-06,85.040001,87.000000,75.910004,85.000000,85.000000,744373
2013-05-07,85.000000,89.389999,82.029999,85.000000,85.000000,1001722
2013-05-08,85.000000,86.949997,83.760002,85.300003,85.300003,247635
2013-05-09,85.300003,92.000000,85.169998,88.110001,88.110001,564710
2013-05-10,88.110001,90.720001,88.000000,90.000000,90.000000,125968
2013-05-11,90.000000,90.500000,88.099998,89.800003,89.800003,109363
2013-05-12,89.800003,91.489998,88.699997,90.089996,90.089996,213195
2013-05-13,90.089996,93.000000,85.000000,86.010002,86.010002,789851
2013-05-14,86.010002,90.000000,80.099998,87.949997,87.949997,745625
2013-05-15,87.949997,91.129997,86.300003,91.110001,91.110001,474117
2013-05-16,91.110001,98.019997,89.000000,93.099998,93.099998,1048084
2013-05-17,93.099998,95.000000,93.010002,93.650002,93.650002,298114
2013-05-18,93.650002,94.949997,91.860001,93.900002,93.900002,117450
2013-05-19,93.900002,95.000000,92.500000,92.500000,92.500000,231557
2013-05-20,92.500000,94.660004,92.500000,93.279999,93.279999,230568
2013-05-21,93.279999,94.970001,92.800003,94.410004,94.410004,209910
2013-05-22,94.410004,96.000000,93.800003,96.000000,96.000000,319543
2013-05-23,96.000000,104.000000,95.209999,102.000000,102.000000,918429
2013-05-24,102.000000,102.980003,99.730003,101.000000,101.000000,187333
2013-05-25,101.000000,103.300003,100.550003,102.290001,102.290001,160035
2013-05-26,102.290001,105.000000,96.110001,101.500000,101.500000,761236
2013-05-27,101.500000,102.099998,98.150002,99.800003,99.800003,254209
2013-05-28,99.800003,102.099998,98.300003,102.000000,102.000000,316629
2013-05-29,102.000000,102.320000,99.599998,99.599998,99.599998,264495
2013-05-30,99.599998,101.949997,99.000000,99.570000,99.570000,182819
2013-05-31,99.570000,100.000000,98.500000,100.000000,100.000000,99222
2013-06-01,100.000000,100.279999,90.050003,95.489998,95.489998,869926
2013-06-02,95.489998,95.400002,90.000000,94.000000,94.000000,628625
2013-06-03,94.000000,97.680000,93.029999,95.000000,95.000000,428501
2013-06-04,95.000000,95.260002,92.209999,93.250000,93.250000,216896
2013-06-05,93.250000,95.300003,91.800003,92.739998,92.739998,293017
2013-06-06,92.739998,92.879997,82.000000,87.000000,87.000000,830204
2013-06-07,87.000000,86.160004,82.309998,82.309998,82.309998,227837
2013-06-08,82.309998,84.139999,66.370003,76.489998,76.489998,1681080
2013-06-09,76.489998,83.980003,71.809998,80.739998,80.739998,417745
2013-06-10,80.739998,84.000000,79.330002,83.440002,83.440002,198505
2013-06-11,83.440002,84.779999,81.010002,82.730003,82.730003,161061
2013-06-12,82.730003,84.529999,75.000000,77.529999,77.529999,489947
